Created by Online2PDF.com,,,,,,,,,,
TABEL BUKU INDUK,,,,,,,,,,
Ex JAKARTA - EFEKTIF: 15 APRIL 2013,,,,,,,,,,
Wilayah Kota,,,,,,,,,,
abc,,,,,,,,,,
Coding,,Kabupaten,Kecamatan,City Code,,,OKE,,TARIF YES,Page
,,,,,TARIF,ETD,TARIF,ETD,,
,,,,,,,,,,
BDJ10406,,Tabalong,Muara Uya,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10407,,Tabalong,Murung Pudak,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10408,,Tabalong,Pugaan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10409,,Tabalong,Tanta,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10410,,Tabalong,Upau,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10412,,Tabalong,Bintang Ara,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10500,,Banjarbaru,BanjarBaru,BDJ,30000,1 - 2,26000,3 - 5,-,3
BDJ10501,,Banjarbaru,Cempaka,BDJ,30000,1 - 2,26000,3 - 5,-,3
BDJ10502,,Banjarbaru,Landasan Ulin,BDJ,30000,1 - 2,26000,3 - 5,-,3
BDJ20100,,Hulu Sungai Utara,Amuntai,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20101,,Hulu Sungai Utara,Amuntai Utara,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20102,,Hulu Sungai Utara,Amuntai Selatan,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20104,,Hulu Sungai Utara,Babirik,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20106,,Hulu Sungai Utara,Danau Panggang,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20111,,Hulu Sungai Utara,Sungai Pandan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ20112,,Hulu Sungai Utara,Amuntai Tengah,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ20113,,Hulu Sungai Utara,Banjang,BDJ,53000,5 - 7,45000,6 - 8,-,3
